name	alpha	beta	L	m	T	L_ratioT_ratio
poi-20-5	2	1.0	13	1	149	
poi-20-5	2	1.0	13	2	74	
poi-20-5	2	1.0	13	2	149	
poi-20-5	2	1.0	13	3	74	
poi-20-5	2	1.0	13	3	149	
poi-20-5	2	1.0	26	1	74	
poi-20-5	2	1.0	26	1	149	
poi-20-5	2	1.0	26	2	74	
poi-20-5	2	1.0	26	2	149	
poi-20-5	2	1.0	26	3	74	
poi-20-5	2	1.0	26	3	149	
poi-20-5	2	1.33	13	1	74	
poi-20-5	2	1.33	13	1	149	
poi-20-5	2	1.33	13	2	74	
poi-20-5	2	1.33	13	2	149	
poi-20-5	2	1.33	13	3	74	
poi-20-5	2	1.33	13	3	149	
poi-20-5	2	1.33	26	1	74	
poi-20-5	2	1.33	26	1	149	
poi-20-5	2	1.33	26	2	74	
poi-20-5	2	1.33	26	2	149	
poi-20-5	2	1.33	26	3	74	
poi-20-5	2	1.33	26	3	149	
poi-30-1	1	0.67	13	1	85	
poi-30-1	1	0.67	13	1	171	
poi-30-1	1	0.67	13	2	85	
poi-30-1	1	0.67	13	2	171	
poi-30-1	1	0.67	13	3	85	
poi-30-1	1	0.67	13	3	171	
poi-30-1	1	0.67	26	1	85	
poi-30-1	1	0.67	26	1	171	
poi-30-1	1	0.67	26	2	85	
poi-30-1	1	0.67	26	2	171	
poi-30-1	1	0.67	26	3	85	
poi-30-1	1	0.67	26	3	171	
poi-30-1	1	1.0	13	1	85	
poi-30-1	1	1.0	13	1	171	
poi-30-1	1	1.0	13	2	85	
poi-30-1	1	1.0	13	2	171	
poi-30-1	1	1.0	13	3	85	
poi-30-1	1	1.0	13	3	171	
poi-30-1	1	1.0	26	1	85	
poi-30-1	1	1.0	26	1	171	
poi-30-1	1	1.0	26	2	85	
poi-30-1	1	1.0	26	2	171	
poi-30-1	1	1.0	26	3	85	
poi-30-1	1	1.0	26	3	171	
poi-30-1	1	1.33	13	1	85	
poi-30-1	1	1.33	13	1	171	
poi-30-1	1	1.33	13	2	85	
poi-30-1	1	1.33	13	2	171	
poi-30-1	1	1.33	13	3	85	
poi-30-1	1	1.33	13	3	171	
poi-30-1	1	1.33	26	1	85	
poi-30-1	1	1.33	26	1	171	
poi-30-1	1	1.33	26	2	85	
poi-30-1	1	1.33	26	2	171	
poi-30-1	1	1.33	26	3	85	
poi-30-1	1	1.33	26	3	171	
poi-30-1	2	0.67	13	1	85	
poi-30-1	2	0.67	13	1	171	
poi-30-1	2	0.67	13	2	85	
poi-30-1	2	0.67	13	2	171	
poi-30-1	2	0.67	13	3	85	
poi-30-1	2	0.67	13	3	171	
poi-30-1	2	0.67	26	1	85	
poi-30-1	2	0.67	26	1	171	
poi-30-1	2	0.67	26	2	85	
poi-30-1	2	0.67	26	2	171	
poi-30-1	2	0.67	26	3	85	
poi-30-1	2	0.67	26	3	171	
poi-30-1	2	1.0	13	1	85	
poi-30-1	2	1.0	13	1	171	
poi-30-1	2	1.0	13	2	85	
poi-30-1	2	1.0	13	2	171	
poi-30-1	2	1.0	13	3	85	
poi-30-1	2	1.0	13	3	171	
poi-30-1	2	1.0	26	1	85	
poi-30-1	2	1.0	26	1	171	
poi-30-1	2	1.0	26	2	85	
poi-30-1	2	1.0	26	2	171	
poi-30-1	2	1.0	26	3	85	
poi-30-1	2	1.0	26	3	171	
poi-30-1	2	1.33	13	1	85	
poi-30-1	2	1.33	13	1	171	
poi-30-1	2	1.33	13	2	85	
poi-30-1	2	1.33	13	2	171	
poi-30-1	2	1.33	13	3	85	
poi-30-1	2	1.33	13	3	171	
poi-30-1	2	1.33	26	1	85	
poi-30-1	2	1.33	26	1	171	
poi-30-1	2	1.33	26	2	85	
poi-30-1	2	1.33	26	2	171	
poi-30-1	2	1.33	26	3	85	
poi-30-1	2	1.33	26	3	171	
poi-30-2	1	0.67	12	1	95	
poi-30-2	1	0.67	12	1	190	
poi-30-2	1	0.67	12	2	95	
poi-30-2	1	0.67	12	2	190	
poi-30-2	1	0.67	12	3	95	
poi-30-2	1	0.67	12	3	190	
poi-30-2	1	0.67	25	1	95	
poi-30-2	1	0.67	25	1	190	
poi-30-2	1	0.67	25	2	95	
poi-30-2	1	0.67	25	2	190	
poi-30-2	1	0.67	25	3	95	
poi-30-2	1	0.67	25	3	190	
poi-30-2	1	1.0	12	1	95	
poi-30-2	1	1.0	12	1	190	
poi-30-2	1	1.0	12	2	95	
poi-30-2	1	1.0	12	2	190	
poi-30-2	1	1.0	12	3	95	
poi-30-2	1	1.0	12	3	190	
poi-30-2	1	1.0	25	1	95	
poi-30-2	1	1.0	25	1	190	
poi-30-2	1	1.0	25	2	95	
poi-30-2	1	1.0	25	2	190	
poi-30-2	1	1.0	25	3	95	
poi-30-2	1	1.0	25	3	190	
poi-30-2	1	1.33	12	1	95	
poi-30-2	1	1.33	12	1	190	
poi-30-2	1	1.33	12	2	95	
poi-30-2	1	1.33	12	2	190	
poi-30-2	1	1.33	12	3	95	
poi-30-2	1	1.33	12	3	190	
poi-30-2	1	1.33	25	1	95	
poi-30-2	1	1.33	25	1	190	
poi-30-2	1	1.33	25	2	95	
poi-30-2	1	1.33	25	2	190	
poi-30-2	1	1.33	25	3	95	
poi-30-2	1	1.33	25	3	190	
poi-30-2	2	0.67	12	1	95	
poi-30-2	2	0.67	12	1	190	
poi-30-2	2	0.67	12	2	95	
poi-30-2	2	0.67	12	2	190	
poi-30-2	2	0.67	12	3	95	
poi-30-2	2	0.67	12	3	190	
poi-30-2	2	0.67	25	1	95	
poi-30-2	2	0.67	25	1	190	
poi-30-2	2	0.67	25	2	95	
poi-30-2	2	0.67	25	2	190	
poi-30-2	2	0.67	25	3	95	
poi-30-2	2	0.67	25	3	190	
poi-30-2	2	1.0	12	1	95	
poi-30-2	2	1.0	12	1	190	
poi-30-2	2	1.0	12	2	95	
poi-30-2	2	1.0	12	2	190	
poi-30-2	2	1.0	12	3	95	
poi-30-2	2	1.0	12	3	190	
poi-30-2	2	1.0	25	1	95	
poi-30-2	2	1.0	25	1	190	
poi-30-2	2	1.0	25	2	95	
poi-30-2	2	1.0	25	2	190	
poi-30-2	2	1.0	25	3	95	
poi-30-2	2	1.0	25	3	190	
poi-30-2	2	1.33	12	1	95	
poi-30-2	2	1.33	12	1	190	
poi-30-2	2	1.33	12	2	95	
poi-30-2	2	1.33	12	2	190	
poi-30-2	2	1.33	12	3	95	
poi-30-2	2	1.33	12	3	190	
poi-30-2	2	1.33	25	1	95	
poi-30-2	2	1.33	25	1	190	
poi-30-2	2	1.33	25	2	95	
poi-30-2	2	1.33	25	2	190	
poi-30-2	2	1.33	25	3	95	
poi-30-2	2	1.33	25	3	190	
poi-30-3	1	0.67	12	1	86	
poi-30-3	1	0.67	12	1	172	
poi-30-3	1	0.67	12	2	86	
poi-30-3	1	0.67	12	2	172	
poi-30-3	1	0.67	12	3	86	
poi-30-3	1	0.67	12	3	172	
poi-30-3	1	0.67	24	1	86	
poi-30-3	1	0.67	24	1	172	
poi-30-3	1	0.67	24	2	86	
poi-30-3	1	0.67	24	2	172	
poi-30-3	1	0.67	24	3	86	
poi-30-3	1	0.67	24	3	172	
poi-30-3	1	1.0	12	1	86	
poi-30-3	1	1.0	12	1	172	
poi-30-3	1	1.0	12	2	86	
poi-30-3	1	1.0	12	2	172	
poi-30-3	1	1.0	12	3	86	
poi-30-3	1	1.0	12	3	172	
poi-30-3	1	1.0	24	1	86	
poi-30-3	1	1.0	24	1	172	
poi-30-3	1	1.0	24	2	86	
poi-30-3	1	1.0	24	2	172	
poi-30-3	1	1.0	24	3	86	
poi-30-3	1	1.0	24	3	172	
poi-30-3	1	1.33	12	1	86	
poi-30-3	1	1.33	12	1	172	
poi-30-3	1	1.33	12	2	86	
poi-30-3	1	1.33	12	2	172	
poi-30-3	1	1.33	12	3	86	
poi-30-3	1	1.33	12	3	172	
poi-30-3	1	1.33	24	1	86	
poi-30-3	1	1.33	24	1	172	
poi-30-3	1	1.33	24	2	86	
poi-30-3	1	1.33	24	2	172	
poi-30-3	1	1.33	24	3	86	
poi-30-3	1	1.33	24	3	172	
poi-30-3	2	0.67	12	1	86	
poi-30-3	2	0.67	12	1	172	
poi-30-3	2	0.67	12	2	86	
poi-30-3	2	0.67	12	2	172	
poi-30-3	2	0.67	12	3	86	
poi-30-3	2	0.67	12	3	172	
poi-30-3	2	0.67	24	1	86	
poi-30-3	2	0.67	24	1	172	
poi-30-3	2	0.67	24	2	86	
poi-30-3	2	0.67	24	2	172	
poi-30-3	2	0.67	24	3	86	
poi-30-3	2	0.67	24	3	172	
poi-30-3	2	1.0	12	1	86	
poi-30-3	2	1.0	12	1	172	
poi-30-3	2	1.0	12	2	86	
poi-30-3	2	1.0	12	2	172	
poi-30-3	2	1.0	12	3	86	
poi-30-3	2	1.0	12	3	172	
poi-30-3	2	1.0	24	1	86	
poi-30-3	2	1.0	24	1	172	
poi-30-3	2	1.0	24	2	86	
poi-30-3	2	1.0	24	2	172	
poi-30-3	2	1.0	24	3	86	
poi-30-3	2	1.0	24	3	172	
poi-30-3	2	1.33	12	1	86	
poi-30-3	2	1.33	12	1	172	
poi-30-3	2	1.33	12	2	86	
poi-30-3	2	1.33	12	2	172	
poi-30-3	2	1.33	12	3	86	
poi-30-3	2	1.33	12	3	172	
poi-30-3	2	1.33	24	1	86	
poi-30-3	2	1.33	24	1	172	
poi-30-3	2	1.33	24	2	86	
poi-30-3	2	1.33	24	2	172	
poi-30-3	2	1.33	24	3	86	
poi-30-3	2	1.33	24	3	172	
poi-30-4	1	0.67	11	1	91	
poi-30-4	1	0.67	11	1	183	
poi-30-4	1	0.67	11	2	91	
poi-30-4	1	0.67	11	2	183	
poi-30-4	1	0.67	11	3	91	
poi-30-4	1	0.67	11	3	183	
poi-30-4	1	0.67	23	1	91	
poi-30-4	1	0.67	23	1	183	
poi-30-4	1	0.67	23	2	91	
poi-30-4	1	0.67	23	2	183	
poi-30-4	1	0.67	23	3	91	
poi-30-4	1	0.67	23	3	183	
poi-30-4	1	1.0	11	1	91	
poi-30-4	1	1.0	11	1	183	
poi-30-4	1	1.0	11	2	91	
poi-30-4	1	1.0	11	2	183	
poi-30-4	1	1.0	11	3	91	
poi-30-4	1	1.0	11	3	183	
poi-30-4	1	1.0	23	1	91	
poi-30-4	1	1.0	23	1	183	
poi-30-4	1	1.0	23	2	91	
poi-30-4	1	1.0	23	2	183	
poi-30-4	1	1.0	23	3	91	
poi-30-4	1	1.0	23	3	183	
poi-30-4	1	1.33	11	1	91	
poi-30-4	1	1.33	11	1	183	
poi-30-4	1	1.33	11	2	91	
poi-30-4	1	1.33	11	2	183	
poi-30-4	1	1.33	11	3	91	
poi-30-4	1	1.33	11	3	183	
poi-30-4	1	1.33	23	1	91	
poi-30-4	1	1.33	23	1	183	
poi-30-4	1	1.33	23	2	91	
poi-30-4	1	1.33	23	2	183	
poi-30-4	1	1.33	23	3	91	
poi-30-4	1	1.33	23	3	183	
poi-30-4	2	0.67	11	1	91	
poi-30-4	2	0.67	11	1	183	
poi-30-4	2	0.67	11	2	91	
poi-30-4	2	0.67	11	2	183	
poi-30-4	2	0.67	11	3	91	
poi-30-4	2	0.67	11	3	183	
poi-30-4	2	0.67	23	1	91	
poi-30-4	2	0.67	23	1	183	
poi-30-4	2	0.67	23	2	91	
poi-30-4	2	0.67	23	2	183	
poi-30-4	2	0.67	23	3	91	
poi-30-4	2	0.67	23	3	183	
poi-30-4	2	1.0	11	1	91	
poi-30-4	2	1.0	11	1	183	
poi-30-4	2	1.0	11	2	91	
poi-30-4	2	1.0	11	2	183	
poi-30-4	2	1.0	11	3	91	
poi-30-4	2	1.0	11	3	183	
poi-30-4	2	1.0	23	1	91	
poi-30-4	2	1.0	23	1	183	
poi-30-4	2	1.0	23	2	91	
poi-30-4	2	1.0	23	2	183	
poi-30-4	2	1.0	23	3	91	
poi-30-4	2	1.0	23	3	183	
poi-30-4	2	1.33	11	1	91	
poi-30-4	2	1.33	11	1	183	
poi-30-4	2	1.33	11	2	91	
poi-30-4	2	1.33	11	2	183	
poi-30-4	2	1.33	11	3	91	
poi-30-4	2	1.33	11	3	183	
poi-30-4	2	1.33	23	1	91	
poi-30-4	2	1.33	23	1	183	
poi-30-4	2	1.33	23	2	91	
poi-30-4	2	1.33	23	2	183	
poi-30-4	2	1.33	23	3	91	
poi-30-4	2	1.33	23	3	183	
poi-30-5	1	0.67	13	1	82	
poi-30-5	1	0.67	13	1	164	
poi-30-5	1	0.67	13	2	82	
poi-30-5	1	0.67	13	2	164	
poi-30-5	1	0.67	13	3	82	
poi-30-5	1	0.67	13	3	164	
poi-30-5	1	0.67	26	1	82	
poi-30-5	1	0.67	26	1	164	
poi-30-5	1	0.67	26	2	82	
poi-30-5	1	0.67	26	2	164	
poi-30-5	1	0.67	26	3	82	
poi-30-5	1	0.67	26	3	164	
poi-30-5	1	1.0	13	1	82	
poi-30-5	1	1.0	13	1	164	
poi-30-5	1	1.0	13	2	82	
poi-30-5	1	1.0	13	2	164	
poi-30-5	1	1.0	13	3	82	
poi-30-5	1	1.0	13	3	164	
poi-30-5	1	1.0	26	1	82	
poi-30-5	1	1.0	26	1	164	
poi-30-5	1	1.0	26	2	82	
poi-30-5	1	1.0	26	2	164	
poi-30-5	1	1.0	26	3	82	
poi-30-5	1	1.0	26	3	164	
poi-30-5	1	1.33	13	1	82	
poi-30-5	1	1.33	13	1	164	
poi-30-5	1	1.33	13	2	82	
poi-30-5	1	1.33	13	2	164	
poi-30-5	1	1.33	13	3	82	
poi-30-5	1	1.33	13	3	164	
poi-30-5	1	1.33	26	1	82	
poi-30-5	1	1.33	26	1	164	
poi-30-5	1	1.33	26	2	82	
poi-30-5	1	1.33	26	2	164	
poi-30-5	1	1.33	26	3	82	
poi-30-5	1	1.33	26	3	164	
poi-30-5	2	0.67	13	1	82	
poi-30-5	2	0.67	13	1	164	
poi-30-5	2	0.67	13	2	82	
poi-30-5	2	0.67	13	2	164	
poi-30-5	2	0.67	13	3	82	
poi-30-5	2	0.67	13	3	164	
poi-30-5	2	0.67	26	1	82	
poi-30-5	2	0.67	26	1	164	
poi-30-5	2	0.67	26	2	82	
poi-30-5	2	0.67	26	2	164	
poi-30-5	2	0.67	26	3	82	
poi-30-5	2	0.67	26	3	164	
poi-30-5	2	1.0	13	1	82	
poi-30-5	2	1.0	13	1	164	
poi-30-5	2	1.0	13	2	82	
poi-30-5	2	1.0	13	2	164	
poi-30-5	2	1.0	13	3	82	
poi-30-5	2	1.0	13	3	164	
poi-30-5	2	1.0	26	1	82	
poi-30-5	2	1.0	26	1	164	
poi-30-5	2	1.0	26	2	82	
poi-30-5	2	1.0	26	2	164	
poi-30-5	2	1.0	26	3	82	
poi-30-5	2	1.0	26	3	164	
poi-30-5	2	1.33	13	1	82	
poi-30-5	2	1.33	13	1	164	
poi-30-5	2	1.33	13	2	82	
poi-30-5	2	1.33	13	2	164	
poi-30-5	2	1.33	13	3	82	
poi-30-5	2	1.33	13	3	164	
poi-30-5	2	1.33	26	1	82	
poi-30-5	2	1.33	26	1	164	
poi-30-5	2	1.33	26	2	82	
poi-30-5	2	1.33	26	2	164	
poi-30-5	2	1.33	26	3	82	
poi-30-5	2	1.33	26	3	164	
poi-40-1	1	0.67	12	1	101	
poi-40-1	1	0.67	12	1	202	
poi-40-1	1	0.67	12	2	101	
poi-40-1	1	0.67	12	2	202	
poi-40-1	1	0.67	12	3	101	
poi-40-1	1	0.67	12	3	202	
poi-40-1	1	0.67	24	1	101	
poi-40-1	1	0.67	24	1	202	
poi-40-1	1	0.67	24	2	101	
poi-40-1	1	0.67	24	2	202	
poi-40-1	1	0.67	24	3	101	
poi-40-1	1	0.67	24	3	202	
poi-40-1	1	1.0	12	1	101	
poi-40-1	1	1.0	12	1	202	
poi-40-1	1	1.0	12	2	101	
poi-40-1	1	1.0	12	2	202	
poi-40-1	1	1.0	12	3	101	
poi-40-1	1	1.0	12	3	202	
poi-40-1	1	1.0	24	1	101	
poi-40-1	1	1.0	24	1	202	
poi-40-1	1	1.0	24	2	101	
poi-40-1	1	1.0	24	2	202	
poi-40-1	1	1.0	24	3	101	
poi-40-1	1	1.0	24	3	202	
poi-40-1	1	1.33	12	1	101	
poi-40-1	1	1.33	12	1	202	
poi-40-1	1	1.33	12	2	101	
poi-40-1	1	1.33	12	2	202	
poi-40-1	1	1.33	12	3	101	
poi-40-1	1	1.33	12	3	202	
poi-40-1	1	1.33	24	1	101	
poi-40-1	1	1.33	24	1	202	
poi-40-1	1	1.33	24	2	101	
poi-40-1	1	1.33	24	2	202	
poi-40-1	1	1.33	24	3	101	
poi-40-1	1	1.33	24	3	202	
poi-40-1	2	0.67	12	1	101	
poi-40-1	2	0.67	12	1	202	
poi-40-1	2	0.67	12	2	101	
poi-40-1	2	0.67	12	2	202	
poi-40-1	2	0.67	12	3	101	
poi-40-1	2	0.67	12	3	202	
poi-40-1	2	0.67	24	1	101	
poi-40-1	2	0.67	24	1	202	
poi-40-1	2	0.67	24	2	101	
poi-40-1	2	0.67	24	2	202	
poi-40-1	2	0.67	24	3	101	
poi-40-1	2	0.67	24	3	202	
poi-40-1	2	1.0	12	1	101	
poi-40-1	2	1.0	12	1	202	
poi-40-1	2	1.0	12	2	101	
poi-40-1	2	1.0	12	2	202	
poi-40-1	2	1.0	12	3	101	
poi-40-1	2	1.0	12	3	202	
poi-40-1	2	1.0	24	1	101	
poi-40-1	2	1.0	24	1	202	
poi-40-1	2	1.0	24	2	101	
poi-40-1	2	1.0	24	2	202	
poi-40-1	2	1.0	24	3	101	
poi-40-1	2	1.0	24	3	202	
poi-40-1	2	1.33	12	1	101	
poi-40-1	2	1.33	12	1	202	
poi-40-1	2	1.33	12	2	101	
poi-40-1	2	1.33	12	2	202	
poi-40-1	2	1.33	12	3	101	
poi-40-1	2	1.33	12	3	202	
poi-40-1	2	1.33	24	1	101	
poi-40-1	2	1.33	24	1	202	
poi-40-1	2	1.33	24	2	101	
poi-40-1	2	1.33	24	2	202	
poi-40-1	2	1.33	24	3	101	
poi-40-1	2	1.33	24	3	202	
poi-40-2	1	0.67	12	1	97	
poi-40-2	1	0.67	12	1	194	
poi-40-2	1	0.67	12	2	97	
poi-40-2	1	0.67	12	2	194	
poi-40-2	1	0.67	12	3	97	
poi-40-2	1	0.67	12	3	194	
poi-40-2	1	0.67	24	1	97	
poi-40-2	1	0.67	24	1	194	
poi-40-2	1	0.67	24	2	97	
poi-40-2	1	0.67	24	2	194	
poi-40-2	1	0.67	24	3	97	
poi-40-2	1	0.67	24	3	194	
poi-40-2	1	1.0	12	1	97	
poi-40-2	1	1.0	12	1	194	
poi-40-2	1	1.0	12	2	97	
poi-40-2	1	1.0	12	2	194	
poi-40-2	1	1.0	12	3	97	
poi-40-2	1	1.0	12	3	194	
poi-40-2	1	1.0	24	1	97	
poi-40-2	1	1.0	24	1	194	
poi-40-2	1	1.0	24	2	97	
poi-40-2	1	1.0	24	2	194	
poi-40-2	1	1.0	24	3	97	
poi-40-2	1	1.0	24	3	194	
poi-40-2	1	1.33	12	1	97	
poi-40-2	1	1.33	12	1	194	
poi-40-2	1	1.33	12	2	97	
poi-40-2	1	1.33	12	2	194	
poi-40-2	1	1.33	12	3	97	
poi-40-2	1	1.33	12	3	194	
poi-40-2	1	1.33	24	1	97	
poi-40-2	1	1.33	24	1	194	
poi-40-2	1	1.33	24	2	97	
poi-40-2	1	1.33	24	2	194	
poi-40-2	1	1.33	24	3	97	
poi-40-2	1	1.33	24	3	194	
poi-40-2	2	0.67	12	1	97	
poi-40-2	2	0.67	12	1	194	
poi-40-2	2	0.67	12	2	97	
poi-40-2	2	0.67	12	2	194	
poi-40-2	2	0.67	12	3	97	
poi-40-2	2	0.67	12	3	194	
poi-40-2	2	0.67	24	1	97	
poi-40-2	2	0.67	24	1	194	
poi-40-2	2	0.67	24	2	97	
poi-40-2	2	0.67	24	2	194	
poi-40-2	2	0.67	24	3	97	
poi-40-2	2	0.67	24	3	194	
poi-40-2	2	1.0	12	1	97	
poi-40-2	2	1.0	12	1	194	
poi-40-2	2	1.0	12	2	97	
poi-40-2	2	1.0	12	2	194	
poi-40-2	2	1.0	12	3	97	
poi-40-2	2	1.0	12	3	194	
poi-40-2	2	1.0	24	1	97	
poi-40-2	2	1.0	24	1	194	
poi-40-2	2	1.0	24	2	97	
poi-40-2	2	1.0	24	2	194	
poi-40-2	2	1.0	24	3	97	
poi-40-2	2	1.0	24	3	194	
poi-40-2	2	1.33	12	1	97	
poi-40-2	2	1.33	12	1	194	
poi-40-2	2	1.33	12	2	97	
poi-40-2	2	1.33	12	2	194	
poi-40-2	2	1.33	12	3	97	
poi-40-2	2	1.33	12	3	194	
poi-40-2	2	1.33	24	1	97	
poi-40-2	2	1.33	24	1	194	
poi-40-2	2	1.33	24	2	97	
poi-40-2	2	1.33	24	2	194	
poi-40-2	2	1.33	24	3	97	
poi-40-2	2	1.33	24	3	194	
poi-40-3	1	0.67	13	1	97	
poi-40-3	1	0.67	13	1	195	
poi-40-3	1	0.67	13	2	97	
poi-40-3	1	0.67	13	2	195	
poi-40-3	1	0.67	13	3	97	
poi-40-3	1	0.67	13	3	195	
poi-40-3	1	0.67	27	1	97	
poi-40-3	1	0.67	27	1	195	
poi-40-3	1	0.67	27	2	97	
poi-40-3	1	0.67	27	2	195	
poi-40-3	1	0.67	27	3	97	
poi-40-3	1	0.67	27	3	195	
poi-40-3	1	1.0	13	1	97	
poi-40-3	1	1.0	13	1	195	
poi-40-3	1	1.0	13	2	97	
poi-40-3	1	1.0	13	2	195	
poi-40-3	1	1.0	13	3	97	
poi-40-3	1	1.0	13	3	195	
poi-40-3	1	1.0	27	1	97	
poi-40-3	1	1.0	27	1	195	
poi-40-3	1	1.0	27	2	97	
poi-40-3	1	1.0	27	2	195	
poi-40-3	1	1.0	27	3	97	
poi-40-3	1	1.0	27	3	195	
poi-40-3	1	1.33	13	1	97	
poi-40-3	1	1.33	13	1	195	
poi-40-3	1	1.33	13	2	97	
poi-40-3	1	1.33	13	2	195	
poi-40-3	1	1.33	13	3	97	
poi-40-3	1	1.33	13	3	195	
poi-40-3	1	1.33	27	1	97	
poi-40-3	1	1.33	27	1	195	
poi-40-3	1	1.33	27	2	97	
poi-40-3	1	1.33	27	2	195	
poi-40-3	1	1.33	27	3	97	
poi-40-3	1	1.33	27	3	195	
poi-40-3	2	0.67	13	1	97	
poi-40-3	2	0.67	13	1	195	
poi-40-3	2	0.67	13	2	97	
poi-40-3	2	0.67	13	2	195	
poi-40-3	2	0.67	13	3	97	
poi-40-3	2	0.67	13	3	195	
poi-40-3	2	0.67	27	1	97	
poi-40-3	2	0.67	27	1	195	
poi-40-3	2	0.67	27	2	97	
poi-40-3	2	0.67	27	2	195	
poi-40-3	2	0.67	27	3	97	
poi-40-3	2	0.67	27	3	195	
poi-40-3	2	1.0	13	1	97	
poi-40-3	2	1.0	13	1	195	
poi-40-3	2	1.0	13	2	97	
poi-40-3	2	1.0	13	2	195	
poi-40-3	2	1.0	13	3	97	
poi-40-3	2	1.0	13	3	195	
poi-40-3	2	1.0	27	1	97	
poi-40-3	2	1.0	27	1	195	
poi-40-3	2	1.0	27	2	97	
poi-40-3	2	1.0	27	2	195	
poi-40-3	2	1.0	27	3	97	
poi-40-3	2	1.0	27	3	195	
poi-40-3	2	1.33	13	1	97	
poi-40-3	2	1.33	13	1	195	
poi-40-3	2	1.33	13	2	97	
poi-40-3	2	1.33	13	2	195	
poi-40-3	2	1.33	13	3	97	
poi-40-3	2	1.33	13	3	195	
poi-40-3	2	1.33	27	1	97	
poi-40-3	2	1.33	27	1	195	
poi-40-3	2	1.33	27	2	97	
poi-40-3	2	1.33	27	2	195	
poi-40-3	2	1.33	27	3	97	
poi-40-3	2	1.33	27	3	195	
poi-40-4	1	0.67	13	1	103	
poi-40-4	1	0.67	13	1	207	
poi-40-4	1	0.67	13	2	103	
poi-40-4	1	0.67	13	2	207	
poi-40-4	1	0.67	13	3	103	
poi-40-4	1	0.67	13	3	207	
poi-40-4	1	0.67	27	1	103	
poi-40-4	1	0.67	27	1	207	
poi-40-4	1	0.67	27	2	103	
poi-40-4	1	0.67	27	2	207	
poi-40-4	1	0.67	27	3	103	
poi-40-4	1	0.67	27	3	207	
poi-40-4	1	1.0	13	1	103	
poi-40-4	1	1.0	13	1	207	
poi-40-4	1	1.0	13	2	103	
poi-40-4	1	1.0	13	2	207	
poi-40-4	1	1.0	13	3	103	
poi-40-4	1	1.0	13	3	207	
poi-40-4	1	1.0	27	1	103	
poi-40-4	1	1.0	27	1	207	
poi-40-4	1	1.0	27	2	103	
poi-40-4	1	1.0	27	2	207	
poi-40-4	1	1.0	27	3	103	
poi-40-4	1	1.0	27	3	207	
poi-40-4	1	1.33	13	1	103	
poi-40-4	1	1.33	13	1	207	
poi-40-4	1	1.33	13	2	103	
poi-40-4	1	1.33	13	2	207	
poi-40-4	1	1.33	13	3	103	
poi-40-4	1	1.33	13	3	207	
poi-40-4	1	1.33	27	1	103	
poi-40-4	1	1.33	27	1	207	
poi-40-4	1	1.33	27	2	103	
poi-40-4	1	1.33	27	2	207	
poi-40-4	1	1.33	27	3	103	
poi-40-4	1	1.33	27	3	207	
poi-40-4	2	0.67	13	1	103	
poi-40-4	2	0.67	13	1	207	
poi-40-4	2	0.67	13	2	103	
poi-40-4	2	0.67	13	2	207	
poi-40-4	2	0.67	13	3	103	
poi-40-4	2	0.67	13	3	207	
poi-40-4	2	0.67	27	1	103	
poi-40-4	2	0.67	27	1	207	
poi-40-4	2	0.67	27	2	103	
poi-40-4	2	0.67	27	2	207	
poi-40-4	2	0.67	27	3	103	
poi-40-4	2	0.67	27	3	207	
poi-40-4	2	1.0	13	1	103	
poi-40-4	2	1.0	13	1	207	
poi-40-4	2	1.0	13	2	103	
poi-40-4	2	1.0	13	2	207	
poi-40-4	2	1.0	13	3	103	
poi-40-4	2	1.0	13	3	207	
poi-40-4	2	1.0	27	1	103	
poi-40-4	2	1.0	27	1	207	
poi-40-4	2	1.0	27	2	103	
poi-40-4	2	1.0	27	2	207	
poi-40-4	2	1.0	27	3	103	
poi-40-4	2	1.0	27	3	207	
poi-40-4	2	1.33	13	1	103	
poi-40-4	2	1.33	13	1	207	
poi-40-4	2	1.33	13	2	103	
poi-40-4	2	1.33	13	2	207	
poi-40-4	2	1.33	13	3	103	
poi-40-4	2	1.33	13	3	207	
poi-40-4	2	1.33	27	1	103	
poi-40-4	2	1.33	27	1	207	
poi-40-4	2	1.33	27	2	103	
poi-40-4	2	1.33	27	2	207	
poi-40-4	2	1.33	27	3	103	
poi-40-4	2	1.33	27	3	207	
poi-40-5	1	0.67	12	1	105	
poi-40-5	1	0.67	12	1	211	
poi-40-5	1	0.67	12	2	105	
poi-40-5	1	0.67	12	2	211	
poi-40-5	1	0.67	12	3	105	
poi-40-5	1	0.67	12	3	211	
poi-40-5	1	0.67	25	1	105	
poi-40-5	1	0.67	25	1	211	
poi-40-5	1	0.67	25	2	105	
poi-40-5	1	0.67	25	2	211	
poi-40-5	1	0.67	25	3	105	
poi-40-5	1	0.67	25	3	211	
poi-40-5	1	1.0	12	1	105	
poi-40-5	1	1.0	12	1	211	
poi-40-5	1	1.0	12	2	105	
poi-40-5	1	1.0	12	2	211	
poi-40-5	1	1.0	12	3	105	
poi-40-5	1	1.0	12	3	211	
poi-40-5	1	1.0	25	1	105	
poi-40-5	1	1.0	25	1	211	
poi-40-5	1	1.0	25	2	105	
poi-40-5	1	1.0	25	2	211	
poi-40-5	1	1.0	25	3	105	
poi-40-5	1	1.0	25	3	211	
poi-40-5	1	1.33	12	1	105	
poi-40-5	1	1.33	12	1	211	
poi-40-5	1	1.33	12	2	105	
